player_id,player_name,player_display_name,position,position_group,team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,return_yards_placeholder,key
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,2023,2,REG,WAS,18,32,308.0,3,1.0,7.0,31.0,1,1,300.0,110.0,8.0,3.3465052,0,1.0266666,0.14833832,6,56.0,0,0.0,0.0,6.0,6.4628716,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Wilson|DEN|QB|2
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,2023,3,REG,MIA,23,38,306.0,1,1.0,1.0,12.0,0,0,412.0,123.0,13.0,2.2087188,0,0.74271846,0.08595069,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Wilson|DEN|QB|3
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,2023,4,REG,CHI,21,28,223.0,3,0.0,1.0,9.0,0,0,179.0,137.0,9.0,14.218062,0,1.24581,0.2868691,4,13.0,0,0.0,0.0,2.0,1.370572,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Wilson|DEN|QB|4
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,2023,5,REG,NYJ,20,31,196.0,2,0.0,4.0,27.0,1,1,177.0,148.0,10.0,-10.412276,0,1.1073446,0.045734335,7,49.0,0,1.0,0.0,2.0,2.8251693,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Wilson|DEN|QB|5
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,2023,6,REG,KC,13,22,95.0,1,2.0,4.0,13.0,0,0,117.0,58.0,4.0,-18.298592,0,0.8119658,-0.033053283,4,31.0,0,0.0,0.0,3.0,3.6832938,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Wilson|DEN|QB|6
00-0029293,M.Jones,Marvin Jones,WR,WR,DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,6,8.0,0,1.0,1.0,50.0,4.0,0.0,-6.1952314,0,0.16,0.1875,0.23041475,0.44254032,0.0,0,M.Jones|DET|WR|1
00-0029293,M.Jones,Marvin Jones,WR,WR,DET,2023,4,REG,GB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,8.0,0.0,0.0,-0.42258295,0,0.0,0.037037037,0.04519774,0.08719397,0.0,0,M.Jones|DET|WR|4
00-0029293,M.Jones,Marvin Jones,WR,WR,DET,2023,5,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,22.0,0,0.0,0.0,17.0,5.0,1.0,0.9811019,0,1.2941177,0.074074075,0.10240964,0.18279786,0.0,0,M.Jones|DET|WR|5
00-0029293,M.Jones,Marvin Jones,WR,WR,DET,2023,6,REG,TB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,5.0,0,0.0,0.0,5.0,0.0,1.0,0.20974533,0,1.0,0.024390243,0.01754386,0.048866067,0.0,0,M.Jones|DET|WR|6
00-0029604,K.Cousins,Kirk Cousins,QB,QB,MIN,2023,1,REG,TB,33,44,344.0,2,1.0,2.0,16.0,1,1,298.0,145.0,15.0,0.3236898,0,1.1543624,0.06493537,3,7.0,0,1.0,1.0,1.0,-5.5176325,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Cousins|MIN|QB|1
00-0029604,K.Cousins,Kirk Cousins,QB,QB,MIN,2023,2,REG,PHI,31,44,364.0,4,0.0,2.0,18.0,1,1,399.0,155.0,19.0,17.481337,0,0.9122807,0.22862087,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Cousins|MIN|QB|2
00-0029604,K.Cousins,Kirk Cousins,QB,QB,MIN,2023,3,REG,LAC,32,50,367.0,3,1.0,4.0,22.0,0,0,397.0,149.0,15.0,1.4202403,0,0.92443323,0.09516822,1,10.0,0,0.0,0.0,0.0,2.6894994,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Cousins|MIN|QB|3
00-0029604,K.Cousins,Kirk Cousins,QB,QB,MIN,2023,4,REG,CAR,12,19,139.0,2,2.0,2.0,9.0,0,0,167.0,47.0,9.0,-10.878063,0,0.83233535,0.039086025,1,0.0,0,1.0,0.0,0.0,-0.648092,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Cousins|MIN|QB|4
00-0029604,K.Cousins,Kirk Cousins,QB,QB,MIN,2023,5,REG,KC,29,47,284.0,2,0.0,3.0,25.0,0,0,355.0,137.0,15.0,2.568146,0,0.8,0.058111876,3,5.0,0,0.0,0.0,3.0,1.463317,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Cousins|MIN|QB|5
00-0029604,K.Cousins,Kirk Cousins,QB,QB,MIN,2023,6,REG,CHI,21,31,181.0,1,0.0,2.0,7.0,2,1,189.0,81.0,8.0,-6.1696563,0,0.95767194,0.032073084,2,-5.0,0,0.0,0.0,1.0,2.1001177,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Cousins|MIN|QB|6
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,TEN,2023,1,REG,NO,16,34,198.0,0,3.0,3.0,17.0,0,0,310.0,124.0,8.0,-12.042962,0,0.63870966,-0.07838841,3,5.0,0,0.0,0.0,0.0,-1.8367609,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Tannehill|TEN|QB|1
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,TEN,2023,2,REG,LAC,20,24,246.0,1,0.0,5.0,46.0,0,0,211.0,63.0,9.0,1.4567641,0,1.1658767,0.22462696,1,12.0,1,0.0,0.0,1.0,1.7393413,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Tannehill|TEN|QB|2
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,TEN,2023,3,REG,CLE,13,25,104.0,0,0.0,5.0,36.0,1,0,254.0,43.0,5.0,-14.025612,0,0.40944883,0.002285461,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Tannehill|TEN|QB|3
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,TEN,2023,4,REG,CIN,18,25,240.0,1,1.0,3.0,15.0,0,0,307.0,86.0,10.0,7.165728,0,0.78175896,0.20542732,6,11.0,0,1.0,0.0,0.0,-6.310667,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Tannehill|TEN|QB|4
